student_id,cgpa,tenth_percentage,twelfth_percentage,backlogs,internships,projects,coding_score,aptitude_score,communication_score,attendance,certifications,placed
46,6.27,79,66,2,3,4,93,40,64,78,1,1
47,7.22,92,93,2,3,3,68,83,58,92,3,1
48,8.67,65,60,2,2,0,92,88,60,79,1,1
49,8.73,64,56,0,1,3,79,94,94,64,3,1
50,7.16,95,91,1,3,3,65,55,54,60,6,1
51,8.94,61,82,1,1,5,73,69,48,95,1,1
52,9.17,62,84,1,3,5,73,75,83,80,6,1
53,9.07,94,87,3,3,1,87,95,75,88,2,1
54,8.51,95,72,3,1,2,68,44,90,78,1,1
55,6.59,75,89,0,1,1,54,64,89,69,5,1
56,6.36,81,81,2,3,3,43,53,71,84,6,1
57,7.84,56,91,3,3,0,62,59,93,84,6,1
58,9.07,81,89,1,3,1,57,67,76,61,3,1
59,6.84,80,65,3,1,4,74,41,70,97,4,0
60,8.15,60,82,1,3,1,43,56,69,80,1,1
61,7.32,76,79,2,3,2,93,45,75,61,5,1
62,7.66,77,69,0,0,0,55,52,46,69,1,1
63,6.0,62,91,1,3,5,56,89,68,70,4,1
64,7.93,62,65,2,0,4,41,59,81,84,3,1
65,9.27,67,59,1,0,5,89,59,88,98,6,1
66,5.98,91,57,2,3,5,63,44,77,81,0,0
67,8.9,86,61,3,2,5,93,69,90,69,3,1
68,6.2,88,72,3,3,3,92,86,82,77,2,0
69,8.91,60,72,3,1,3,76,79,87,84,2,1
70,5.61,75,66,3,1,2,91,56,66,77,4,0
71,8.3,72,90,0,1,0,55,86,71,91,4,1
72,8.53,85,86,3,0,0,58,54,70,75,2,0
73,8.16,78,85,2,3,5,75,61,67,89,2,1
74,6.73,69,62,1,2,0,87,74,93,71,1,1
75,6.37,85,72,2,0,1,58,54,68,71,2,0
76,5.56,89,63,2,0,0,75,58,89,68,5,0
77,8.97,86,61,0,2,3,70,68,66,71,0,1
78,6.51,85,62,0,3,3,44,76,85,63,1,1
79,6.1,91,74,0,1,0,75,88,71,98,4,1
80,8.66,69,88,3,3,3,59,95,82,87,2,1
81,7.77,58,94,0,1,5,53,56,87,65,1,1
82,6.46,90,59,1,0,3,68,84,83,90,2,1
83,5.63,73,73,3,0,5,54,56,95,97,5,0
84,8.72,67,82,0,1,5,49,57,54,64,0,1
85,6.16,74,93,2,3,0,69,84,64,85,2,0
86,7.5,86,83,0,0,3,87,60,83,76,0,1
87,5.87,91,92,0,2,4,42,88,93,71,3,1
88,7.58,83,72,1,3,5,92,71,50,90,2,1
89,7.13,75,61,1,2,3,84,71,63,85,6,1
90,8.54,57,84,0,2,2,60,47,94,85,6,1
91,7.56,55,89,3,3,0,52,73,68,91,5,1
92,7.27,58,68,2,1,2,68,84,76,67,0,0
93,9.39,93,70,1,2,4,40,75,71,65,1,1
94,9.47,62,84,0,1,3,85,58,77,77,3,1
95,8.84,85,70,3,1,3,52,78,77,68,6,1
96,5.78,81,76,2,0,2,86,59,82,97,5,0
97,7.46,64,83,3,2,2,75,88,79,84,3,1
98,9.23,67,70,3,1,3,42,60,92,90,5,1
99,9.15,79,79,1,3,0,48,72,82,81,6,1
100,5.9,83,61,3,0,5,49,66,86,69,0,0
